Seller Name,Buyer Name,Overall Match Score,Sector Match,Offering Match,Customer Match,Geography Match,Size Match,Market Position Match,sector_match_keywords_score,sector_match_hierarchical_score,offering_match_keywords_score,offering_match_hierarchical_score,customer_match_keywords_score,customer_match_hierarchical_score,geography_match_keywords_score,geography_match_hierarchical_score,market_position_match_keywords_score,market_position_match_hierarchical_score,size_match_revenue_score,size_match_employee_count_score
atomus limited,ama repiping,54.8,29.0,9.7,5.6,2.3,4.7,3.5,1.3,0.6,1.3,0.3,1.3,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,asg,56.4,28.8,10.1,6.2,3.0,4.7,3.5,1.4,0.5,1.3,0.4,1.4,0.3,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,ashfield house veterinary hospital,56.2,28.4,10.1,6.5,3.0,4.7,3.5,1.4,0.5,1.4,0.3,1.4,0.5,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,ab initio,70.9,43.7,10.3,6.3,2.3,4.7,3.6,1.5,1.8,1.4,0.4,1.5,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,ag2r la mondiale,54.7,27.2,10.2,6.8,2.4,4.7,3.5,1.4,0.3,1.3,0.5,1.4,0.7,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,inspired uk lon inse,58.0,29.8,10.4,6.5,3.0,4.7,3.6,1.5,0.5,1.4,0.4,1.4,0.5,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,amazon hose  rubber,54.8,27.7,10.2,6.4,2.3,4.7,3.5,1.4,0.4,1.3,0.5,1.4,0.4,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,ambient healthcare,56.3,30.2,9.6,5.8,2.3,4.7,3.6,1.4,0.6,1.4,0.2,1.4,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,ameos group,56.8,30.2,10.2,6.0,2.3,4.7,3.5,1.4,0.6,1.4,0.4,1.4,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,asdia,54.9,27.6,10.5,6.3,2.4,4.7,3.5,1.4,0.4,1.4,0.5,1.4,0.4,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,aagard,52.6,26.6,9.8,5.7,2.3,4.7,3.5,1.4,0.2,1.4,0.2,1.4,0.2,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,aset international services,55.1,28.5,10.4,5.6,2.3,4.7,3.5,1.4,0.5,1.4,0.4,1.4,0.1,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,amasol,70.9,43.2,10.4,6.6,2.4,4.7,3.7,1.4,1.8,1.4,0.5,1.4,0.5,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,aicas,70.4,43.3,10.3,6.1,2.4,4.7,3.6,1.4,1.8,1.4,0.4,1.4,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,aio computer hardware,52.9,26.9,9.8,5.6,2.4,4.7,3.6,1.4,0.3,1.3,0.3,1.4,0.1,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,learning technologies group pinx ltthf,74.7,45.0,11.8,6.2,3.0,4.7,3.9,1.5,1.8,1.5,0.5,1.4,0.4,1.8,0.0,1.6,0.0,0.4,0.4
atomus limited,eenergy group lon eaas,57.0,29.8,10.2,5.7,3.0,4.7,3.6,1.4,0.6,1.3,0.4,1.4,0.2,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,ash brokerage,55.6,27.8,10.2,6.9,2.3,4.7,3.7,1.4,0.4,1.4,0.2,1.4,0.7,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,legalzoom nas lz,70.8,43.3,10.1,6.7,2.3,4.7,3.6,1.4,1.8,1.4,0.4,1.4,0.6,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,aman resorts,56.4,29.2,10.4,6.2,2.3,4.7,3.5,1.4,0.6,1.4,0.4,1.4,0.4,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,ameos reha klinikum,55.5,29.4,9.8,5.7,2.4,4.7,3.5,1.4,0.6,1.4,0.2,1.3,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,chronus,73.4,44.8,11.5,6.4,2.3,4.7,3.7,1.5,1.8,1.5,0.5,1.4,0.4,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,ama group usa,54.8,27.2,10.4,6.7,2.3,4.7,3.5,1.4,0.3,1.4,0.5,1.4,0.5,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,amergint technologies,54.7,27.8,10.1,6.3,2.3,4.7,3.5,1.5,0.3,1.3,0.4,1.4,0.4,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,abridãal,53.3,26.6,9.8,6.4,2.4,4.7,3.4,1.3,0.4,1.3,0.3,1.3,0.5,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,ad scientiam,70.5,43.2,10.4,6.2,2.4,4.7,3.6,1.4,1.8,1.4,0.5,1.4,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,asend,54.8,27.5,9.6,6.3,3.0,4.7,3.7,1.4,0.4,1.3,0.2,1.3,0.5,1.8,0.0,1.5,0.0,0.4,0.4
atomus limited,ambulante rehazentrum koblenz,56.2,29.7,10.1,5.6,2.4,4.7,3.6,1.4,0.6,1.4,0.4,1.3,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,adwanted group,72.1,44.3,10.8,6.3,2.3,4.7,3.7,1.5,1.8,1.4,0.5,1.5,0.3,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,ashland industries,53.8,25.8,10.0,7.5,2.3,4.7,3.5,1.4,0.2,1.4,0.3,1.5,0.8,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,amber texas,54.5,27.1,9.8,7.1,2.3,4.7,3.5,1.3,0.4,1.3,0.3,1.4,0.7,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,aep,56.2,29.3,10.1,6.0,2.4,4.7,3.6,1.5,0.4,1.4,0.3,1.5,0.2,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,affinia healthcare,54.1,27.3,9.8,6.6,2.3,4.7,3.3,1.3,0.5,1.4,0.3,1.3,0.6,1.4,0.0,1.3,0.0,0.4,0.4
atomus limited,amcad,53.8,27.4,10.1,5.7,2.3,4.7,3.6,1.4,0.3,1.4,0.4,1.4,0.2,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,aarp,52.5,26.5,9.7,5.8,2.3,4.7,3.5,1.4,0.3,1.3,0.3,1.3,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,42q,71.2,43.9,10.1,6.5,2.3,4.7,3.6,1.5,1.8,1.4,0.3,1.4,0.5,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,60 decibels,55.3,27.5,10.8,6.3,2.3,4.7,3.6,1.4,0.3,1.4,0.4,1.4,0.4,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,airbus protect,55.4,28.7,10.0,6.1,2.4,4.7,3.5,1.4,0.5,1.4,0.3,1.4,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,acin,72.0,43.2,10.5,6.9,3.0,4.7,3.6,1.4,1.8,1.4,0.5,1.4,0.7,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,mindtickle,74.3,45.3,11.5,6.6,2.3,4.7,3.9,1.6,1.8,1.6,0.4,1.5,0.4,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,clari,73.2,44.4,11.0,7.1,2.3,4.7,3.7,1.5,1.8,1.5,0.5,1.5,0.6,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,allego,74.7,45.0,11.9,6.7,2.3,4.7,4.0,1.5,1.8,1.6,0.5,1.5,0.4,1.4,0.0,1.6,0.0,0.4,0.4
atomus limited,accurx,71.8,43.9,10.3,6.2,3.0,4.7,3.6,1.5,1.8,1.4,0.3,1.4,0.4,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,amc industries,53.7,26.2,10.4,6.4,2.3,4.7,3.6,1.4,0.3,1.4,0.5,1.4,0.5,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,americas test kitchen,56.0,29.7,10.1,5.7,2.3,4.7,3.5,1.5,0.5,1.3,0.4,1.3,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,amberjack,56.9,27.5,11.3,6.7,3.0,4.7,3.6,1.5,0.2,1.5,0.4,1.4,0.5,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,ambit group,54.8,26.3,10.8,7.0,2.3,4.7,3.7,1.4,0.2,1.4,0.5,1.4,0.7,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,inprova nonenergy procurement division,58.3,29.7,10.7,6.6,3.0,4.7,3.6,1.4,0.6,1.4,0.5,1.4,0.6,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,engie impact,56.4,29.3,10.4,6.1,2.3,4.7,3.5,1.4,0.5,1.4,0.5,1.4,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,asec engineers,54.2,27.1,10.3,6.3,2.3,4.7,3.5,1.4,0.3,1.4,0.4,1.4,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,amberon,54.4,26.6,10.4,6.1,3.0,4.7,3.6,1.4,0.3,1.4,0.4,1.4,0.4,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,amenity analytics,72.5,43.8,11.0,6.9,2.3,4.7,3.7,1.5,1.8,1.5,0.5,1.4,0.6,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,amag pharmaceuticals,57.6,29.7,10.4,6.8,2.3,4.7,3.6,1.5,0.4,1.4,0.4,1.5,0.5,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,4web medical,54.4,28.2,9.6,6.1,2.3,4.7,3.5,1.4,0.4,1.3,0.3,1.4,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,amber road,71.2,43.4,10.4,6.6,2.3,4.7,3.7,1.5,1.8,1.4,0.4,1.4,0.5,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,aeler,55.4,28.3,10.0,6.5,2.3,4.7,3.6,1.4,0.4,1.3,0.4,1.5,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,amaze entertainment,69.7,42.9,9.9,6.2,2.3,4.7,3.6,1.4,1.8,1.4,0.3,1.4,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,ab tasty,55.4,27.5,10.9,6.2,2.4,4.7,3.7,1.5,0.2,1.4,0.5,1.4,0.3,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,amber taverns,56.6,30.0,9.9,5.4,3.0,4.7,3.5,1.4,0.6,1.3,0.4,1.3,0.2,1.8,0.0,1.4,0.0,0.4,0.4
atomus limited,americas thrift stores,52.2,26.7,9.8,5.3,2.3,4.7,3.4,1.3,0.4,1.3,0.4,1.3,0.1,1.4,0.0,1.3,0.0,0.4,0.4
atomus limited,amana consulting,70.9,43.6,9.9,6.5,2.4,4.7,3.7,1.5,1.8,1.4,0.3,1.4,0.4,1.4,0.0,1.4,0.0,0.4,0.4
